,unacast_session_count
21091,2522.0
17134,378.0
45746,419.0
41753,315.0
48951,428.0
12693,2007.0
38367,1043.0
9294,1604.0
180,1056.0
27122,642.0
36842,423.0
2299,615.0
35537,466.0
34566,398.0
22635,387.0
1727,504.0
18732,2905.0
48100,1587.0
15716,594.0
8313,478.0
41174,1224.0
553,460.0
40448,721.0
1517,384.0
30202,307.0
27677,493.0
13078,2911.0
13482,374.0
27209,1237.0
30249,311.0
1276,319.0
45740,473.0
43136,485.0
35713,430.0
6646,347.0
21092,2016.0
25463,427.0
30651,343.0
3566,357.0
31757,876.0
49834,457.0
23021,1796.0
27430,442.0
29,471.0
46429,390.0
2520,323.0
19182,497.0
1680,614.0
28338,740.0
11860,519.0
5763,321.0
3640,329.0
43504,700.0
31518,670.0
24620,362.0
47543,371.0
24430,313.0
38139,312.0
42162,542.0
1412,527.0
13804,2895.0
3279,1252.0
29645,463.0
9754,451.0
22317,349.0
47447,338.0
37058,1845.0
23656,418.0
10419,1190.0
39825,468.0
29290,1681.0
20603,2051.0
38569,1050.0
26497,1546.0
32982,875.0
2854,456.0
10082,346.0
7872,344.0
1126,829.0
45248,841.0
48652,555.0
41327,1217.0
49847,474.0
3426,442.0
26998,581.0
8307,385.0
32769,1157.0
14434,460.0
8836,1060.0
37635,415.0
8739,2547.0
22690,1025.0
44565,355.0
26299,511.0
43381,1248.0
37954,313.0
48961,319.0
31526,808.0
26355,511.0
31440,790.0
8108,401.0
9990,480.0
13552,392.0
48806,320.0
35421,3093.0
32361,3119.0
1784,869.0
31232,301.0
39069,339.0
19514,602.0
1130,458.0
5486,602.0
6533,603.0
47832,368.0
18606,456.0
42180,628.0
38109,673.0
16650,806.0
19110,324.0
15986,358.0
28419,572.0
47332,750.0
30696,447.0
42235,1555.0
41944,736.0
15694,362.0
37098,923.0
49699,821.0
33678,745.0
15751,315.0
17264,366.0
32678,1103.0
48544,521.0
10737,371.0
28752,407.0
22875,1301.0
33827,499.0
189,335.0
11310,340.0
43582,513.0
1357,3186.0
43944,3075.0
2498,969.0
12300,406.0
14195,418.0
49355,619.0
32098,464.0
3707,2717.0
31092,605.0
29845,763.0
23961,368.0
23486,3003.0
544,430.0
11780,607.0
12501,497.0
49854,357.0
13694,2317.0
28307,501.0
49353,3043.0
27099,3149.0
2079,517.0
23896,2976.0
18495,1543.0
4773,367.0
29718,472.0
6755,908.0
119,419.0
26176,388.0
11101,492.0
46445,443.0
42591,367.0
25122,322.0
48242,1993.0
16971,490.0
15675,373.0
33103,406.0
20951,1290.0
28006,613.0
43747,347.0
42415,305.0
39265,3025.0
24748,1817.0
5739,2415.0
35444,487.0
3512,457.0
12162,702.0
29060,370.0
41776,488.0
18444,337.0
22811,486.0
20750,810.0
3165,803.0
49170,368.0
7391,515.0
7772,1999.0
30197,454.0
41449,357.0
45046,369.0
36596,376.0
31506,471.0
29580,489.0
7881,510.0
31856,962.0
26031,3009.0
2292,494.0
41340,447.0
29981,542.0
17775,435.0
16466,533.0
33498,487.0
8615,1455.0
37526,532.0
33661,405.0
20425,1230.0
46322,434.0
37011,528.0
26049,457.0
25486,431.0
8568,335.0
21980,325.0
46325,721.0
14993,428.0
22294,1602.0
15407,394.0
48671,367.0
45741,515.0
20601,398.0
35714,448.0
42375,475.0
10891,356.0
37163,443.0
33679,328.0
25965,788.0
33842,486.0
11307,2688.0
43234,470.0
11238,1388.0
18843,698.0
27194,552.0
46850,375.0
25578,311.0
38255,656.0
48268,481.0
26611,602.0
7582,433.0
19952,759.0
43374,340.0
13564,2615.0
43548,324.0
31963,382.0
20979,307.0
33636,2757.0
32938,337.0
8306,392.0
33149,1477.0
7319,311.0
47589,3013.0
8498,335.0
21552,645.0
29670,319.0
10728,579.0
12903,1708.0
45624,823.0
2905,1935.0
14078,401.0
3581,2048.0
47112,1217.0
30,462.0
21428,1359.0
34967,338.0
48596,506.0
6906,436.0
47111,1632.0
41906,317.0
7122,385.0
45659,412.0
20456,309.0
2518,415.0
12780,996.0
19327,437.0
20952,472.0
49429,1769.0
3804,2880.0
10475,348.0
5580,323.0
18372,330.0
38526,454.0
38160,858.0
12704,475.0
13079,3020.0
19603,399.0
1862,924.0
44911,570.0
29404,396.0
6420,564.0
30649,543.0
16771,545.0
48959,325.0
31569,337.0
48209,503.0
43943,3041.0
3786,705.0
19691,315.0
21032,925.0
43625,323.0
1102,316.0
7155,341.0
3567,467.0
45294,473.0
48008,542.0
21102,456.0
38327,570.0
48643,345.0
45247,744.0
17154,303.0
46612,608.0
17699,831.0
6747,318.0
20168,359.0
13409,471.0
18041,1524.0
43002,351.0
10993,758.0
16264,357.0
28375,540.0
11102,2376.0
18709,319.0
7184,2683.0
30648,385.0
48827,446.0
11617,495.0
3787,1480.0
10747,336.0
37752,674.0
4735,357.0
36280,368.0
13081,648.0
11018,703.0
33261,317.0
12660,356.0
22326,517.0
42179,379.0
27491,425.0
5071,1765.0
3923,3011.0
3272,667.0
25445,2138.0
47230,370.0
30466,323.0
6563,310.0
17847,375.0
6781,385.0
22877,1022.0
40571,438.0
22699,740.0
13566,1251.0
47001,1769.0
44041,840.0
27807,2152.0
45762,403.0
42035,348.0
427,377.0
30243,3192.0
32017,1454.0
12160,997.0
43193,949.0
1049,627.0
2072,462.0
47334,391.0
2521,381.0
48326,358.0
29682,401.0
42963,370.0
40177,732.0
6720,1086.0
32076,3056.0
35839,381.0
46901,367.0
7691,304.0
45508,3088.0
16777,2527.0
36513,339.0
1873,570.0
9321,493.0
38743,319.0
10521,329.0
3460,524.0
9791,425.0
20530,903.0
44213,372.0
4165,2099.0
12706,323.0
864,428.0
20941,1080.0
36956,358.0
15925,319.0
33240,465.0
17248,434.0
8895,420.0
26825,508.0
35916,433.0
21962,544.0
30543,348.0
16783,640.0
18634,1614.0
35141,392.0
1716,323.0
19654,747.0
36950,397.0
38583,734.0
44142,314.0
33207,402.0
47424,554.0
6090,434.0
38619,529.0
46210,353.0
48714,1330.0
2776,406.0
22700,371.0
48363,539.0
41242,3012.0
2378,420.0
28502,1694.0
120,546.0
3211,842.0
29037,472.0
14798,1357.0
23222,393.0
38509,383.0
11684,319.0
48245,578.0
43611,683.0
5346,541.0
6572,327.0
13447,426.0
1101,375.0
29794,307.0
26689,536.0
24992,1218.0
10455,650.0
